SMILES,name,canvasUID,Source File,Source File Index,Molecular weight
c1cc(F)ccc1OC(=O)c2cc(on2)-c(cc3)ccc3C,ZINC11916408,69,Ambinter.sdf,69,297.28849
c1cccc(F)c1OC(=O)c2cc(on2)-c(cc3)ccc3C,ZINC11916414,70,Ambinter.sdf,70,297.28849
[O-]C(=O)c1cc(on1)-c2cc(OCC)c(cc2)OCC,ZINC12412243,71,Ambinter.sdf,71,276.27138
CCOC(=O)c1cc(on1)-c2ccc(cc2)SC,ZINC15442706,72,Ambinter.sdf,72,263.31746
CCOC(=O)c1cc(on1)-c(c2)ccc(c23)OCCO3,ZINC15442707,73,Ambinter.sdf,73,275.26341
CCOC(=O)c1cc(on1)-c2ccc(Br)cc2,ZINC15442925,74,Ambinter.sdf,74,296.1274
CCOC(=O)c1cc(on1)-c2ccc(Cl)cc2,ZINC15442926,75,Ambinter.sdf,75,251.6714
CCOC(=O)c1cc(on1)-c2ccc(F)cc2,ZINC15442928,76,Ambinter.sdf,76,235.2168
c1cc(Cl)ccc1OC(=O)c2cc(on2)-c3ccccc3,ZINC15669782,78,Ambinter.sdf,78,299.716
c1cc(F)ccc1OC(=O)c2cc(on2)-c3ccccc3,ZINC15669783,79,Ambinter.sdf,79,283.2614
c1cccc(Cl)c1OC(=O)c2cc(on2)-c3ccccc3,ZINC15669784,80,Ambinter.sdf,80,299.716
c1cccc(F)c1OC(=O)c2cc(on2)-c3ccccc3,ZINC15669785,81,Ambinter.sdf,81,283.2614
c1cc(Cl)ccc1OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC15669813,82,Ambinter.sdf,82,329.74249
COc(cc1)ccc1OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC15669814,83,Ambinter.sdf,83,325.32395
c1cc(F)ccc1OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC15669815,84,Ambinter.sdf,84,313.28789
c1cccc(Cl)c1OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC15669816,85,Ambinter.sdf,85,329.74249
c1cccc(Br)c1OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC15669817,86,Ambinter.sdf,86,374.19849
c1cccc(F)c1OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC15669818,87,Ambinter.sdf,87,313.28789
