"","name.cmpd","paper.name","synth.name","IC50","IC50.low","IC50.up","SMILES"
"163","mPP-0047","SI-15","Amb994",NA,NA,NA,"CCOC(C1=NOC(C2=CSC(C3=CC=CC(Cl)=C3)=N2)=C1)=O"
"164","mPP-0048","SI-14","Amb998",NA,NA,NA,"CCOC(C1=NOC(C2=CSC(CS(=O)(C3=CC=CC=N3)=O)=N2)=C1)=O"
"165","mPP-0049","SI-16","Amb004",NA,NA,NA,"CCOC(C1=NOC(C2=CSC(NC3=CC=CC=C3)=N2)=C1)=O"
"166","mPP-0050","SI-13","Amb030",NA,NA,NA,"CCOC(C1=NOC(C2=CSC(CS(=O)(C)=O)=N2)=C1)=O"
"167","mPP-0051","SI-36","Amb453",NA,NA,NA,"OC(C1=NOC(C2=CC=C(C3=CC=CC=C3)C=C2)=C1)=O"
"168","mPP-0054","SI-40","Amb321",NA,NA,NA,"OC(C1=NOC(C2=CC=CC3=C2C=CC=C3)=C1)=O"
"171","mPP-0040","SI-41","Amb649",NA,NA,NA,"OC(C1=NOC(C2=CC=C3OCOC3=C2)=C1)=O"
"195","mPP-0013","SI-6","C13",NA,NA,NA,"O=C(O)C1=CC=C2C(S(=O)(NC2=O)=O)=C1"
"196","mPP-0015","SI-7","C15",NA,NA,NA,"O=C1CS(=O)(C2=CC=CC=C21)=O"
"197","mPP-0016","SI-8","C16",NA,NA,NA,"O=C(CNS(=O)(C1=CC=C(N)C=C1)=O)O"
"198","mPP-0017","SI-9","C17",NA,NA,NA,"O=C(CN(S(=O)(C1=CC=CC=C12)=O)C2=O)O"
"199","mPP-0018","SI-10","C18",NA,NA,NA,"O=C(C(NS(=O)(C1=CC=C(NC(C)=O)C=C1)=O)CO)O"
"200","mPP-0019","SI-11","C19",NA,NA,NA,"O=C(CN1N=NN=C1N)O"
"201","mPP-0020","SI-12","C20",NA,NA,NA,"N#CC1=CC=C(NS(=O)(C)=O)C=C1"
"202","mPP-0006","SI-1","C6",NA,NA,NA,"OB(C1=C(C=CC(N)=C1)CO)O"
"203","mPP-0008","SI-2","C8",NA,NA,NA,"O=S(NC1=NCCS1)(C2=CC=C(N)C=C2)=O"
"204","mPP-0009","SI-3","C9",NA,NA,NA,"OB1OCC2=CC=C(C(O)=O)C=C21"
"205","mPP-0010","SI-4","C10",NA,NA,NA,"O=C(CS(=O)(C1=CC=CC=C1[N+]([O-])=O)=O)O"
"206","mPP-0011","SI-5","C11",NA,NA,NA,"CC1(C(N(C2=CC=C(S(=O)(Cl)=O)C=C2)S(=O)(C1)=O)=O)C"
"207","mPP-0030","11c","MTI-71",NA,NA,NA,"O=C(O)C1=NOC(C2=CC=CC(C(O)=O)=C2)=C1"
"208","mPP-0030","11c","DAP-06",NA,NA,NA,"O=C(O)C1=NOC(C2=CC=CC(C(O)=O)=C2)=C1"
"209","mPP-0032","SI-35","MTI-75",NA,NA,NA,"OC(C=C1)=CC=C1C2=CC(C(O)=O)=NO2"
"210","mPP-0033","SI-34","MTI-77",NA,NA,NA,"OC1=CC(C2=CC(C(O)=O)=NO2)=CC=C1"
"212","mPP-0024","11e","MTI-43",NA,NA,NA,"O=C(O)C1=NOC(C2=C(OC)C=CC=C2)=C1"
"213","mPP-0024","11e","DAP-21",NA,NA,NA,"O=C(O)C1=NOC(C2=C(OC)C=CC=C2)=C1"
"214","mPP-0024","11e","DAP-21",NA,NA,NA,"O=C(O)C1=NOC(C2=C(OC)C=CC=C2)=C1"
