"name.cmpd" "paper.name" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"1014" "mPP-0295" NA "UR-10" NA NA NA NA
"1114" "mPP-0296" NA "UR-11" NA NA NA NA
"1214" "mPP-0298" NA "UR-13" NA NA NA NA
"1314" "mPP-0299" NA "UR-14" NA NA NA NA
"1514" "mPP-0300" NA "UR-15" NA NA NA NA
"1415" "mPP-0117" NA "IAT-120" 2.48614630464396 2.19491927842483 2.80389947928199 NA
"419" "mPP-0087" NA "AKIXVIII31" 7.84286939920624 7.44708376940537 8.29551440973851 NA
"1115" "IAT-145" NA "IAT-145" 8.5190350013315 7.74524370163682 9.38041556178761 NA
"227" "mPP-0093" NA "AKI XVII167" 9.68464529748224 9.19531949212438 10.2692767523054 NA
"517" "mPP-0095" NA "IAT-31-II" 13.1873725118323 12.7280481935494 13.6450685818307 NA
"916" "mPP-0120" NA "IAT-98-II" 30.7247011227247 26.922516685084 34.8424603718594 NA
"1015" "mPP-0085" NA "IAT71" 32.4601358515072 29.7409436973546 35.27112403787 NA
"816" "mPP-0096" NA "IAT-72" 35.0024212330486 29.8079539074511 40.4841259787062 NA
"319" "mPP-0090" NA "AKI XVIII55" 44.378844440983 41.1442380540814 47.926574324918 NA
"1215" "mPP-0086" NA "IAT-127" 46.8401364365797 42.8955329837721 51.2730608630364 NA
"717" "mPP-0350" NA "IBA-450" 74.7048161715101 67.5804854210412 81.8005751470529 NA
"1315" "mPP-0351" NA "AKI-A7" 91.3721693051259 77.2450582562785 108.435935994596 NA
"1614" "mPP-0091" NA "AKI XVIII1" 93.01459194443 83.1558180856603 103.976665856186 NA
