"name.cmpd" "paper.name" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0075" NA "Amb074" NA NA NA "COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1S(=O)(N(C3)C4=CC=CC=C4NC3=O)=O"
"mPP-0036" NA "Amb244" NA NA NA "OC(C1=NOC(C2=CC=C(C(F)(F)F)C=C2)=C1)=O"
"mPP-0037" NA "Amb333" NA NA NA "OC(C1=NOC(C2=CC=C(C)C(C)=C2)=C1)=O"
"mPP-0038" NA "Amb713" NA NA NA "BrC1=CC=C(C2=CC(C(O)=O)=NO2)C=C1"
"mPP-0047" NA "Amb994" NA NA NA "CCOC(C1=NOC(C2=CSC(C3=CC=CC(Cl)=C3)=N2)=C1)=O"
"mPP-0048" NA "Amb998" NA NA NA "CCOC(C1=NOC(C2=CSC(CS(=O)(C3=CC=CC=N3)=O)=N2)=C1)=O"
"mPP-0049" NA "Amb004" NA NA NA "CCOC(C1=NOC(C2=CSC(NC3=CC=CC=C3)=N2)=C1)=O"
"mPP-0050" NA "Amb030" NA NA NA "CCOC(C1=NOC(C2=CSC(CS(=O)(C)=O)=N2)=C1)=O"
"mPP-0051" NA "Amb453" NA NA NA "OC(C1=NOC(C2=CC=C(C3=CC=CC=C3)C=C2)=C1)=O"
"mPP-0052" NA "Amb149" NA NA NA "OC(C1=NOC(C2=CC=C(S(=O)(C)=O)C=C2)=C1)=O"
"mPP-0053" NA "Amb224" NA NA NA "OC(C1=NOC(C2=CC=C(F)C(F)=C2)=C1)=O"
"mPP-0054" NA "Amb321" NA NA NA "OC(C1=NOC(C2=CC=CC3=C2C=CC=C3)=C1)=O"
"mPP-0055" NA "Amb322" NA NA NA "BrC1=CC=CC=C1C2=CC(C(O)=O)=NO2"
"mPP-0039" NA "Amb210" NA NA NA "OC(C1=NOC(C2=CC=C3OCCOC3=C2)=C1)=O"
"mPP-0040" NA "Amb649" NA NA NA "OC(C1=NOC(C2=CC=C3OCOC3=C2)=C1)=O"
"mPP-0105" NA "LKC098" NA NA NA "O=C(NC1=CC=CC(C2=NC3=CC=CC=C3N2)=C1)C4=CC=CC=C4"
"mPP-0109" NA "LKE101" NA NA NA "ClC1=CC(C(NCCCNC2=NC3=CC=CC=C3N2)=O)=CC(Cl)=C1"
"mPP-0110" NA "LKE21" NA NA NA "O=C(C1=NC(C2=CC=CC=C2)=CN1)NC3=CC=CC=C3"
"mPP-0107" NA "LKE61" NA NA NA "O=C(NC1=CC=CC=C1)C2=CC3=NON=C3C=C2"
"mPP-0102" NA "TL4-31" NA NA NA "O=C(CC(C=C1)=CC=C2C1=CC=C2)O"
"mPP-0100" NA "TL4-50.2" NA NA NA "CN(C(C(C(C=C1)=CC=C2C1=CC=C2)C(N(C)C)=O)=O)C"
"mPP-0101" NA "CB-21" NA NA NA "COC(C=CC(C(NCCC1=CC(Br)=C(OCCCN(C)C)C(Br)=C1)=O)=C2)=C2Cl"
"mPP-0108" NA "CB-26" NA NA NA "COC(C=CC(C(NCCC1=CC(Br)=C(OCCCN(C)C)C(Br)=C1)=O)=C2)=C2C"
"mPP-0106" NA "MV-I-25" NA NA NA "ClC1=CC(C(NCCC2=CC=C(OCCCN(C)C)C=C2)=O)=CC(Cl)=C1"
"mPP-0113" NA "PKII-52" NA NA NA "O=C(NCC1=CC=C(NC(N(C)C)=N2)C2=C1)C3=CC=CN3"
"mPP-0097" NA "TL4-32" NA NA NA "C1(CCC(C=C2)=CC=C3C2=C(CN4CCCCC4)C=C3)=CC=CC=C1"
"mPP-0115" NA "TL4-28" NA NA NA "N1(CC(C=C2)=CC=C3C2=CC=C3)CCCCC1"
"mPP-0104" NA "TL4-30.2" NA NA NA "CCOC(C(C(C=C1)=CC=C2C1=CC=C2)C(OCC)=O)=O"
"mPP-0094" NA "TL4-18" NA NA NA "O=C(O)/C=C/C1=CC(C2=CC=CC=C2)=C3C1=CC=C(CCC4=CC=CC=C4)C=C3"
"mPP-0114" NA "AKIXVI123" NA NA NA "O=C1C(C(F)(F)F)=CC2=C3C1=C(NCC4=CC=CN=C4)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0118" NA "AKIXIII85" NA NA NA "CC(C(C=CC(NC1=O)=C23)=CC2=C(C)C=C3C1=O)C"
"mPP-0119" NA "AKIXIV165" NA NA NA "CC1=CC2=C(C(OCC(O)=O)=CC(C=C3)=C2C1=CC3=O)C(F)(F)F"
"mPP-0103" NA "RA-A111" NA NA NA "CC1=CC2=C(C(C(F)(F)F)=CC(C=C3)=C2C1=CC3=O)OCC(O)=O"
"mPP-0112" NA "AKIXII33" NA NA NA "N#CC(C#N)=C(C=C1)C=C2C(C)=CC3=C(C(F)(F)F)C(OC)=CC1=C23"
"mPP-0121" NA "RPI-149" NA NA NA "CCOC(C1=C(C(O)=NC(C(OCC)OCC)=N1)C)=O"
"mPP-0122" NA "RPI-155" NA NA NA "FC(F)(C1=CC=CC(COC(C2=CC(C(O)=O)=CC(COC3CCCCO3)=C2)=O)=C1)F"
"mPP-0116" NA "RPI-175" NA NA NA "CCOC(C1=C(C(O)=NC(COC2=CC=C(OC)C=C2)=N1)C)=O"
"mPP-0099" NA "RPI-191" NA NA NA "CCOC(C1=NC(COC2=CC=C(OC)C=C2)=NC(Cl)=C1C)=O"
"mPP-0111" NA "RPII-015" NA NA NA "O=C(C1=NC(COC2=CC=C(OC)C=C2)=NC(O)=C1C)O"
"mPP-0086" NA "IAT-127" NA NA NA "CC(OCC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)CC(C(F)(F)F)(O)C2=O)=O"
"mPP-0098" NA "IAT-40" NA NA NA "O=C1C(C(F)(F)F)=CC2=C3C1=C(NCC)C(C=O)=C3C=C(C(C)C)C=C2"
"IAT-93" NA "IAT-93" NA NA NA NA
"mPP-0022" "3" "C22" NA NA NA "CCOC(C1=CC=C(S(=O)(NC(SC2)=NC2=O)=O)C=C1)=O"
"mPP-0080" NA "AKIXVIII7" NA NA NA "O=C1C(C(F)(F)F)=CC2=C3C1=C(NC)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0090" NA "AKI XVIII55" NA NA NA "O=C1C(C(F)(F)F)=CC2=C3C1=C(NCCCN4C=CN=C4)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0095" NA "IAT-31-II" NA NA NA "O=C1C(C(F)(F)F)=CC(C=CC(C(C)C)=C2)=C(C1=C3N4CCOCC4)C2=C3C"
"mPP-0076" NA "IAT-39-II" NA NA NA "O=C1C(C(F)(F)F)=CC2=C3C1=C(NCCO)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0096" NA "IAT-72" NA NA NA "O=C1C(C(F)(F)F)=CC2=C3C1=C(NCC(OC)OC)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0013" NA "C13" NA NA NA "O=C(O)C1=CC=C2C(S(=O)(NC2=O)=O)=C1"
"mPP-0015" NA "C15" NA NA NA "O=C1CS(=O)(C2=CC=CC=C21)=O"
"mPP-0016" NA "C16" NA NA NA "O=C(CNS(=O)(C1=CC=C(N)C=C1)=O)O"
"mPP-0017" NA "C17" NA NA NA "O=C(CN(S(=O)(C1=CC=CC=C12)=O)C2=O)O"
"mPP-0018" NA "C18" NA NA NA "O=C(C(NS(=O)(C1=CC=C(NC(C)=O)C=C1)=O)CO)O"
"mPP-0019" NA "C19" NA NA NA "O=C(CN1N=NN=C1N)O"
"mPP-0020" NA "C20" NA NA NA "N#CC1=CC=C(NS(=O)(C)=O)C=C1"
"mPP-0006" NA "C6" NA NA NA "OB(C1=C(C=CC(N)=C1)CO)O"
"mPP-0007" "1" "C7" NA NA NA "O=C(C1=NOC(C2=C(C=CC=C2)[N+]([O-])=O)=C1)O"
"mPP-0008" NA "C8" NA NA NA "O=S(NC1=NCCS1)(C2=CC=C(N)C=C2)=O"
"mPP-0009" NA "C9" NA NA NA "OB1OCC2=CC=C(C(O)=O)C=C21"
"mPP-0010" NA "C10" NA NA NA "O=C(CS(=O)(C1=CC=CC=C1[N+]([O-])=O)=O)O"
"mPP-0011" NA "C11" NA NA NA "CC1(C(N(C2=CC=C(S(=O)(Cl)=O)C=C2)S(=O)(C1)=O)=O)C"
"mPP-0012" NA "C12" NA NA NA "O=C(C1CCCN1S(=O)(C2=CC=C(N)C=C2)=O)O"
"mPP-0030" "10c" "MTI-71" NA NA NA "O=C(O)C1=NOC(C2=CC=CC(C(O)=O)=C2)=C1"
"mPP-0030" "10c" "DAP-06" NA NA NA "O=C(O)C1=NOC(C2=CC=CC(C(O)=O)=C2)=C1"
