"name.cmpd" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0184" "AKI-A111" NA NA NA "CC(C)C1=CC2=C(/C=C/C(OC)=O)C(N)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"mPP-0185" "AKI-A151" NA NA NA "CC(C)C1=CC2=C(/C=C/C#N)C(N)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"AKI-A195A" "AKI-A195A" NA NA NA NA
"NJI-28" "NJI-28" NA NA NA NA
"NJI-38" "NJI-38" NA NA NA NA
"NJI-30" "NJI-30" NA NA NA NA
"NJI-35" "NJI-35" NA NA NA NA
"NJI1-36,37" "NJI1-36,37" NA NA NA NA
"NJI-33,39" "NJI-33,39" NA NA NA NA
"mPP-0166" "IM - M2" NA NA NA "CC(C1=CC(OCC2=CC=CC(CN3C=NC=C3)=N2)=CC(OCC4=CC=CC(CN5C=NC=C5)=N4)=C1)=O"
"mPP-0165" "IM - M1" NA NA NA "ClCC1=NC(COC2=CC(C(C)=O)=CC(OCC3=CC=CC(CCl)=N3)=C2)=CC=C1"
"mPP-0167" "IM-M4" NA NA NA "CC(C1=CC(OCC2=CC=CC(CN3C=NC4=C3C=CC=C4)=N2)=CC(OCC5=CC=CC(CN6C=NC7=C6C=CC=C7)=N5)=C1)=O"
"mPP-0169" "IM-M7" NA NA NA "O=C(N)C[N+]1=CN(C2=C1C=CC=C2)CC3=CC=CC(CN4[C-]=[N+](CC(N)=O)C5=C4C=CC=C5)=N3.[I-].[I-]"
"mPP-0170" "IM-M54" NA NA NA "O=C(C1=CC=C(Cl)C=C1)C[N+](C2=C3C=CC=C2)=[C-]N3CC4=NC(CN5C6=C(C=CC=C6)[N+](CC(C7=CC=C(Cl)C=C7)=O)=C5)=CC=C4.[Br-].[Br-]"
"mPP-0171" "IMT49" NA NA NA "C1(CN2C3=C(C=CC=C3)N=C2)=CC=CC(CN4C=NC5=C4C=CC=C5)=N1"
"mPP-0172" "IMT-30" NA NA NA "C1(CN2C=CN=C2)=CC=CC(CN3C=NC=C3)=N1"
